threshold,cluster,doy,cum_pct
0.7,Group 2,182,85.35801110470017
0.7,Group 2,185,89.74227071044083
0.7,Group 2,188,92.52344606793939
0.7,Group 2,191,95.74882329315174
0.7,Group 2,194,97.9716210762211
0.7,Group 2,197,99.15632473846647
0.7,Group 2,200,99.7485100317433
0.7,Group 2,203,100.0
0.7,Group 3,149,
0.7,Group 3,152,0.3615012675658613
0.7,Group 3,155,1.0063801656184816
0.7,Group 3,158,3.1183663757037827
0.7,Group 3,161,7.542930032410362
0.7,Group 3,164,13.744176733900487
0.7,Group 3,167,20.60169930627396
0.7,Group 3,170,28.888962727863007
0.7,Group 3,173,40.36312942613365
0.7,Group 3,176,53.70092593238531
0.7,Group 3,179,67.84051320632388
0.7,Group 3,182,78.52536466325218
0.7,Group 3,185,84.04032093775702
0.7,Group 3,188,88.42800251820336
0.7,Group 3,191,92.80649668330496
0.7,Group 3,194,96.1219142169734
0.7,Group 3,197,98.25210576720752
0.7,Group 3,200,99.69709566963333
0.7,Group 3,203,100.0
0.7,Group 4,149,
0.7,Group 4,152,0.3338350078107946
0.7,Group 4,155,0.9277498258068517
0.7,Group 4,158,2.3434057703352185
0.7,Group 4,161,5.12731495295173
0.7,Group 4,164,9.780886403906509
0.7,Group 4,167,15.372195416105079
0.7,Group 4,170,24.32960412097005
0.7,Group 4,173,34.977024552045
0.7,Group 4,176,51.01290738831751
0.7,Group 4,179,66.09596704798206
0.7,Group 4,182,77.18316103723146
0.7,Group 4,185,82.81376900120507
0.7,Group 4,188,87.41156328138929
0.7,Group 4,191,91.87197396591186
0.7,Group 4,194,95.82989534351698
0.7,Group 4,197,98.39556624730183
0.7,Group 4,200,99.89525242103575
0.7,Group 4,203,100.0
0.7,Group 5,149,
0.7,Group 5,152,0.18355602394336493
0.7,Group 5,155,0.8852569874384691
0.7,Group 5,158,1.9735307016984425
0.7,Group 5,161,5.619543623206371
0.7,Group 5,164,10.966591979523558
0.7,Group 5,167,15.122042395416884
0.7,Group 5,170,22.19622345614511
0.7,Group 5,173,35.68477693509718
0.7,Group 5,176,48.37296000415815
0.7,Group 5,179,63.25080007053125
0.7,Group 5,182,75.8624921910921
0.7,Group 5,185,82.06735987010285
0.7,Group 5,188,86.87418737287344
0.7,Group 5,191,91.3702288661968
0.7,Group 5,194,94.92311427781128
0.7,Group 5,197,97.93313127341463
0.7,Group 5,200,99.7390171015535
0.7,Group 5,203,100.0
0.7,Group 6,149,
0.7,Group 6,152,0.18533209322432656
0.7,Group 6,155,0.7282995129204055
0.7,Group 6,158,1.4168287534987183
0.7,Group 6,161,4.962578612703912
0.7,Group 6,164,9.515089661997711
0.7,Group 6,167,13.776144895840408
0.7,Group 6,170,20.53012334929437
0.7,Group 6,173,33.09107591271013
0.7,Group 6,176,44.1828532377239
0.7,Group 6,179,59.270948137531825
0.7,Group 6,182,72.18742000842727
0.7,Group 6,185,79.42504043998589
0.7,Group 6,188,85.15504858035902
0.7,Group 6,191,90.48875807118065
0.7,Group 6,194,94.50816154218137
0.7,Group 6,197,97.3140303617817
0.7,Group 6,200,99.51773853816826
0.7,Group 6,203,100.0
0.8,Group 1,149,
0.8,Group 1,152,0.7428111716278564
0.8,Group 1,155,1.5672853563015319
0.8,Group 1,158,5.11893522448733
